cn,percent
Aruba,0.36
Afghanistan,0.65
Angola,0.74
Anguilla,0.57
Albania,0.47
Aland,0.16
Andorra,0.68
United Arab Emirates,1
Argentina,0.45
Armenia,0.79
American Samoa,0.14
Antarctica,0.86
Ashmore and Cartier Islands,0.18
French Southern and Antarctic Lands,0.28
Antigua and Barbuda,0.98
Australia,0.3
Austria,0.51
Azerbaijan,0.07
Burundi,0.08
Belgium,0.22
Benin,0.15
Burkina Faso,0.21
Bangladesh,0.25
Bulgaria,0.97
Bahrain,0.64
The Bahamas,0.07
Bosnia and Herzegovina,0.42
Bajo Nuevo Bank (Petrel Is.),0.56
Saint Barthelemy,0.9
Belarus,0.99
Belize,0.19
Bermuda,0.02
Bolivia,0.72
Brazil,0.36
Barbados,0.59
Brunei,0.58
Bhutan,0.85
Botswana,0.96
Central African Republic,0.07
Canada,0.09
Switzerland,0.8
Chile,0.79
China,0.18
Ivory Coast,0.79
Clipperton Island,0.41
Cameroon,0.44
Cyprus No Mans Area,0.25
Democratic Republic of the Congo,0.93
Republic of Congo,0.34
Cook Islands,0.05
Colombia,0.04
Comoros,0.69
Cape Verde,0.84
Costa Rica,0.87
Coral Sea Islands,0.85
Cuba,0.07
Curaçao,0.12
Cayman Islands,0.97
Northern Cyprus,0.88
Cyprus,0.9
Czech Republic,0.32
Germany,0.44
Djibouti,0.02
Dominica,0.86
Denmark,0.38
Dominican Republic,0.94
Algeria,0.07
Ecuador,0.57
Egypt,0.14
Eritrea,0.51
Dhekelia Sovereign Base Area,0.76
Spain,0.45
Estonia,0.88
Ethiopia,0.96
Finland,0.13
Fiji,0.29
Falkland Islands,0.84
France,0.49
Faroe Islands,0.34
Federated States of Micronesia,0.91
Gabon,0.38
United Kingdom,0.09
Georgia,0.16
Guernsey,0.14
Ghana,0.26
Gibraltar,0.89
Guinea,0.76
Gambia,0.31
Guinea Bissau,0.59
Equatorial Guinea,0.64
Greece,0.42
Grenada,0.43
Greenland,0.72
Guatemala,0.29
Guam,0.61
Guyana,0.75
Hong Kong S.A.R.,0.92
Heard Island and McDonald Islands,0.64
Honduras,0.26
Croatia,0.71
Haiti,0.03
Hungary,0.28
Indonesia,0.7
Isle of Man,0.47
India,0.07
Indian Ocean Territories,0.42
British Indian Ocean Territory,0.01
Ireland,0.93
Iran,0.43
Iraq,0.06
Iceland,0.34
Israel,0.58
Italy,0.94
Jamaica,0.84
Jersey,0.32
Jordan,0.04
Japan,0.44
Baykonur Cosmodrome,0.9
Siachen Glacier,0.12
Kazakhstan,0.02
Kenya,0.79
Kyrgyzstan,0.98
Cambodia,0.36
Kiribati,0.65
Saint Kitts and Nevis,0.89
South Korea,0.7
Kosovo,0.76
Kuwait,0.2
Laos,0.28
Lebanon,0.11
Liberia,0.29
Libya,0.66
Saint Lucia,0.35
Liechtenstein,0.48
Sri Lanka,0.34
Lesotho,0.43
Lithuania,0.05
Luxembourg,0.17
Latvia,0.89
Macao S.A.R,0.23
Saint Martin,0.1
Morocco,0.45
Monaco,0.49
Moldova,0.86
Madagascar,0.61
Maldives,0.05
Mexico,0.91
Marshall Islands,0.33
Macedonia,0.71
Mali,0.97
Malta,0.37
Myanmar,0.29
Montenegro,0.78
Mongolia,0.61
Northern Mariana Islands,0.87
Mozambique,0.14
Mauritania,0.02
Montserrat,0.98
Mauritius,0.8
Malawi,0.75
Malaysia,0.71
Namibia,0.1
New Caledonia,0.64
Niger,0.49
Norfolk Island,0.23
Nigeria,0.62
Nicaragua,0.56
Niue,0.07
Netherlands,0.36
Norway,0.49
Nepal,1
Nauru,0.89
New Zealand,0.41
Oman,0.79
Pakistan,0.38
Panama,0.62
Pitcairn Islands,0.85
Peru,0.18
Spratly Islands,0.24
Philippines,0.34
Palau,0.98
Papua New Guinea,0.76
Poland,0.96
Puerto Rico,0.24
North Korea,0.34
Portugal,0.39
Paraguay,0.3
Palestine,0.29
French Polynesia,0.01
Qatar,0.16
Romania,0.97
Russia,0.92
Rwanda,0.75
Western Sahara,0.19
Saudi Arabia,0.05
Scarborough Reef,0.59
Sudan,0.98
South Sudan,0.18
Senegal,0.5
Serranilla Bank,0.18
Singapore,0.54
South Georgia and South Sandwich Islands,0.87
Saint Helena,0.13
Solomon Islands,0.6
Sierra Leone,0.96
El Salvador,0.41
San Marino,0.91
Somaliland,0.01
Somalia,0.37
Saint Pierre and Miquelon,0.45
Republic of Serbia,0.55
Sao Tome and Principe,0.05
Suriname,0.39
Slovakia,0.21
Slovenia,0.78
Sweden,0.35
Swaziland,0.43
Sint Maarten,0.79
Seychelles,0.75
Syria,0.23
Turks and Caicos Islands,0.24
Chad,0.2
Togo,0.13
Thailand,0.61
Tajikistan,0.27
Turkmenistan,0.75
East Timor,0.93
Tonga,0.96
Trinidad and Tobago,0.03
Tunisia,0.44
Turkey,0.14
Tuvalu,0.23
Taiwan,0.32
United Republic of Tanzania,0.22
Uganda,0.09
Ukraine,0.57
United States Minor Outlying Islands,0.38
Uruguay,0.58
United States of America,0.55
US Naval Base Guantanamo Bay,0.25
Uzbekistan,0.57
Vatican,0.13
Saint Vincent and the Grenadines,0.18
Venezuela,0.44
British Virgin Islands,0.34
United States Virgin Islands,0.39
Vietnam,0.59
Vanuatu,0.91
Wallis and Futuna,0.7
Akrotiri Sovereign Base Area,0.93
Samoa,0.35
Yemen,0.14
South Africa,0.77
Zambia,0.59
Zimbabwe,0.71
